Name,Position,Price,xMins,GW2,GW3,GW4,GW5,Total,/£M,Elite%
M.Salah,MID,14.5,87,87,89,86,83,345,5.9,97.8%
Haaland,FWD,14.0,90,90,83,78,76,327,5.8,1.7%
Palmer,MID,10.5,90,90,86,85,81,342,8.1,98.7%
Saka,MID,10.0,87,87,79,79,78,323,8.1,3.2%
Marmoush,MID,8.5,76,76,72,75,70,293,8.6,1.2%
Eze,MID,7.5,87,87,83,77,78,325,10.8,0.5%
B.Fernandes,MID,9.0,90,90,85,86,84,345,9.6,87.1%
Mateta,FWD,7.5,87,87,82,76,82,327,10.9,49.7%
Watkins,FWD,9.0,83,83,84,80,75,322,8.9,46.7%
Wirtz,MID,8.5,84,84,81,78,79,322,9.5,68.0%
Semenyo,MID,7.0,88,88,85,81,81,335,12.0,0.2%
Sarr,MID,6.5,81,81,78,77,78,314,12.1,6.9%
Evanilson,FWD,7.0,84,84,79,80,77,320,11.4,15.4%
Bowen,FWD,8.0,90,90,89,85,84,348,10.9,3.3%
Strand Larsen,FWD,6.5,84,84,77,77,82,320,12.3,59.7%
Rogers,MID,7.0,86,86,83,82,84,335,12.0,11.3%
Gakpo,MID,7.5,69,69,67,69,67,272,9.1,4.4%
Georginio,MID,6.0,76,76,74,73,68,291,12.1,26.2%
Virgil,DEF,6.0,91,91,86,84,88,349,14.5,5.6%
Muñoz,DEF,5.5,89,89,85,82,80,336,15.3,5.9%
Ødegaard,MID,8.0,84,84,79,76,70,309,9.7,0.0%
Gyökeres,FWD,9.0,60,60,59,58,62,239,6.6,0.4%
Tavernier,MID,5.5,82,82,76,72,70,300,13.6,0.1%
J.Arias,MID,5.5,79,79,76,77,72,304,13.8,0.4%
Gordon,MID,7.5,75,75,78,58,62,273,9.1,0.2%
Enzo,MID,6.5,89,89,90,86,83,348,13.4,0.2%
Tielemans,MID,6.0,87,87,78,79,82,326,13.6,12.8%
Damsgaard,MID,6.0,86,86,81,77,76,320,13.3,0.0%
L.Paquetá,MID,6.0,81,81,79,75,72,307,12.8,5.8%
Ndiaye,MID,6.5,78,78,75,73,69,295,11.3,2.7%
Mac Allister,MID,6.5,78,78,78,76,77,309,11.9,0.0%
Mitoma,MID,6.5,83,83,82,78,77,320,12.3,2.2%
Lacroix,DEF,5.0,90,90,88,85,79,342,17.1,3.5%
Schade,MID,7.0,78,59,77,74,67,277,9.9,0.0%
Frimpong,DEF,6.0,81,81,72,72,68,293,12.2,1.2%
Rice,MID,6.5,83,83,80,77,73,313,12.0,0.1%
Iwobi,MID,6.5,83,83,80,75,79,317,12.2,0.0%
Murillo,DEF,5.5,88,88,85,83,75,331,15.0,66.5%
Joelinton,MID,6.0,86,86,85,72,74,317,13.2,0.0%
Raúl,FWD,6.5,76,76,67,62,62,267,10.3,0.0%
Anderson,MID,5.5,82,82,80,80,76,318,14.5,14.2%
Wood,FWD,7.5,80,80,77,77,75,309,10.3,1.0%
Bruno G.,MID,6.5,90,90,90,80,81,341,13.1,0.0%
Thiago,FWD,6.0,77,77,70,58,52,257,10.7,10.0%
Solanke,FWD,7.5,61,61,74,68,66,269,9.0,0.3%
Gabriel,DEF,6.0,89,89,83,79,83,334,13.9,1.4%
Gibbs-White,MID,7.5,81,81,77,75,77,310,10.3,0.0%
Raya,GK,5.5,93,93,90,87,88,358,16.3,0.9%
A.Becker,GK,5.5,92,92,89,88,84,353,16.0,0.3%
Martinez,GK,5.0,94,94,93,91,92,370,18.5,0.0%
